id,orden,palabra,valoracion,estimulo
-Lw0L5D8GRExGDVkFaUS,1,avance,10,Inteligencia artificial
-Lw0L5D8GRExGDVkFaUS,2,automatizacion,10,Inteligencia artificial
-Lw0L5D8GRExGDVkFaUS,3,crecimiento,10,Inteligencia artificial
-Lw0L5D8GRExGDVkFaUS,4,productividad,10,Inteligencia artificial
-Lw0L5D8GRExGDVkFaUS,5,economia,10,Inteligencia artificial
-LwWBsBk8B6pYgaIbIMr,1,preguntar,10,Conocimiento
-LwWBsBk8B6pYgaIbIMr,2,incertidumbre,9,Conocimiento
-LwWBsBk8B6pYgaIbIMr,3,inacabado,9,Conocimiento
-LwWBsBk8B6pYgaIbIMr,4,otres,10,Conocimiento
-LwWBsBk8B6pYgaIbIMr,5,construccion,10,Conocimiento
-LwWKBnHtIyt_-w_Yphx,1,aprendizaje,7,Inteligencia artificial
-LwWKBnHtIyt_-w_Yphx,2,terminator,3,Inteligencia artificial
-LwWKBnHtIyt_-w_Yphx,3,skynet,4,Inteligencia artificial
-LwWKBnHtIyt_-w_Yphx,4,clasificacion,5,Inteligencia artificial
-LwWKBnHtIyt_-w_Yphx,5,robot,6,Inteligencia artificial
-Lxi-8WscHCMSexYbcFz,1,pensamiento,10,Conocimiento
-Lxi-8WscHCMSexYbcFz,2,desarrollo,10,Conocimiento
-Lxi-8WscHCMSexYbcFz,3,innovacion,10,Conocimiento
-Lxi-8WscHCMSexYbcFz,4,libertad,10,Conocimiento
-Lxi-8WscHCMSexYbcFz,5,amplitud,10,Conocimiento
-M0-0z2zotlRiIwfkQce,1,investigacion,8,Ciencia de datos
-M0-0z2zotlRiIwfkQce,2,analitico,5,Ciencia de datos
-M0-0z2zotlRiIwfkQce,3,ia,10,Ciencia de datos
-M0-0z2zotlRiIwfkQce,4,informacion,10,Ciencia de datos
-M0-0z2zotlRiIwfkQce,5,getcontext,10,Ciencia de datos
-M0-4Gp_gyHCRCZSjpjJ,1,ciencia,8,Conocimiento
-M0-4Gp_gyHCRCZSjpjJ,2,tecnologia,10,Conocimiento
-M0-4Gp_gyHCRCZSjpjJ,3,aprendizaje,7,Conocimiento
-M0-4Gp_gyHCRCZSjpjJ,4,trabajo,10,Conocimiento
-M0-4Gp_gyHCRCZSjpjJ,5,relacion_personal,7,Conocimiento
-M0-5LZpujeV-7Nz4J6F,1,informacion,10,Ciencia de datos
-M0-5LZpujeV-7Nz4J6F,2,publicidad,0,Ciencia de datos
-M0-5LZpujeV-7Nz4J6F,3,robo_dato,0,Ciencia de datos
-M0-5LZpujeV-7Nz4J6F,4,stalkeo,0,Ciencia de datos
-M0-5LZpujeV-7Nz4J6F,5,multinacional,0,Ciencia de datos
-M0-9OQkabuGoSmceB5E,1,informacion,10,Big data
-M0-9OQkabuGoSmceB5E,2,analisis,10,Big data
-M0-9OQkabuGoSmceB5E,3,investigacion,10,Big data
-M0-9OQkabuGoSmceB5E,4,comercial,9,Big data
-M0-9OQkabuGoSmceB5E,5,filtracion,0,Big data
-M0-Bdhrtm0iTLACWVIl,1,delfo,9,Conocimiento
-M0-Bdhrtm0iTLACWVIl,2,disfrutir,10,Conocimiento
-M0-Bdhrtm0iTLACWVIl,3,vinculo,10,Conocimiento
-M0-Bdhrtm0iTLACWVIl,4,poder,10,Conocimiento
-M0-Bdhrtm0iTLACWVIl,5,ignorancia,1,Conocimiento
-M0-CQEYqqhepgr6iuJ6,1,delfo,9,Conocimiento
-M0-CQEYqqhepgr6iuJ6,2,disfrutir,10,Conocimiento
-M0-CQEYqqhepgr6iuJ6,3,vinculo,10,Conocimiento
-M0-CQEYqqhepgr6iuJ6,4,poder,10,Conocimiento
-M0-CQEYqqhepgr6iuJ6,5,ignorancia,1,Conocimiento
-M0-J5YFaOQ0dxWw9QvA,1,ventaja,10,Conocimiento
-M0-J5YFaOQ0dxWw9QvA,2,necesario,9,Conocimiento
-M0-J5YFaOQ0dxWw9QvA,3,ignorancia,3,Conocimiento
-M0-J5YFaOQ0dxWw9QvA,4,mente,5,Conocimiento
-M0-J5YFaOQ0dxWw9QvA,5,esfuerzo,7,Conocimiento
-M0-OCP1j4wbTY-lgZAx,1,verdad,10,Conocimiento
-M0-OCP1j4wbTY-lgZAx,2,poder,5,Conocimiento
-M0-OCP1j4wbTY-lgZAx,3,ciencia,7,Conocimiento
-M0-OCP1j4wbTY-lgZAx,4,estudio,9,Conocimiento
-M0-OCP1j4wbTY-lgZAx,5,realidad,5,Conocimiento
-M038VoU7ICfruBo38-V,1,innovacion,10,Inteligencia artificial
-M038VoU7ICfruBo38-V,2,desempleo,2,Inteligencia artificial
-M038VoU7ICfruBo38-V,3,acotado,5,Inteligencia artificial
-M038VoU7ICfruBo38-V,4,peligro,3,Inteligencia artificial
-M038VoU7ICfruBo38-V,5,inevitable,5,Inteligencia artificial
-M03tH2YwW4heuIKu8ps,1,comodidad,5,Inteligencia artificial
-M03tH2YwW4heuIKu8ps,2,confort,5,Inteligencia artificial
-M03tH2YwW4heuIKu8ps,3,computadora,5,Inteligencia artificial
-M03tH2YwW4heuIKu8ps,4,facilitar,8,Inteligencia artificial
-M03tH2YwW4heuIKu8ps,5,dificultar,2,Inteligencia artificial
-M0DAr48IImoMsTiKhaK,1,informatica,5,Ciencia de datos
-M0DAr48IImoMsTiKhaK,2,numero,6,Ciencia de datos
-M0DAr48IImoMsTiKhaK,3,estudio,10,Ciencia de datos
-M0DAr48IImoMsTiKhaK,4,grafico,6,Ciencia de datos
-M0DAr48IImoMsTiKhaK,5,escala,3,Ciencia de datos
-M0DUBR8E6m_LBy26ERI,1,analisis,7,Ciencia de datos
-M0DUBR8E6m_LBy26ERI,2,estadistico,9,Ciencia de datos
-M0DUBR8E6m_LBy26ERI,3,procesamiento_informacion,6,Ciencia de datos
-M0DUBR8E6m_LBy26ERI,4,char_ted,8,Ciencia de datos
-M0DUBR8E6m_LBy26ERI,5,abstraccion,5,Ciencia de datos
